block height,subsidy era,subsidy (sats),total supply (sats)
210000,1,5000000000,1050000000000000
420000,2,2500000000,1575000000000000
630000,3,1250000000,1837500000000000
840000,4,625000000,1968750000000000
1050000,5,312500000,2034375000000000
1260000,6,156250000,2067187500000000
1470000,7,78125000,2083593750000000
1680000,8,39062500,2091796875000000
1890000,9,19531250,2095898437500000
2100000,10,9765625,2097949218750000
2310000,11,4882812,2098974609270000
2520000,12,2441406,2099487304530000
2730000,13,1220703,2099743652160000
2940000,14,610351,2099871825870000
3150000,15,305175,2099935912620000
3360000,16,152587,2099967955890000
3570000,17,76293,2099983977420000
3780000,18,38146,2099991988080000
3990000,19,19073,2099995993410000
4200000,20,9536,2099997995970000
4410000,21,4768,2099998997250000
4620000,22,2384,2099999497890000
4830000,23,1192,2099999748210000
5040000,24,596,2099999873370000
5250000,25,298,2099999935950000
5460000,26,149,2099999967240000
5670000,27,74,2099999982780000
5880000,28,37,2099999990550000
6090000,29,18,2099999994330000
6300000,30,9,2099999996220000
6510000,31,4,2099999997060000
6720000,32,2,2099999997480000
6930000,33,1,2099999997690000
